          index,      site-name,           zone,         region,       district,            lon,            lat,           date,           time,        weather,           icon,           tmin,           tmax,             sr,             ss,     heat-index,     visibility,     wind-speed, wind-direction
  1,Bulyanhulu                    ,LakeVictoria                  ,Shinyanga                     ,Kahama                        , 32.5, -3.2,2023-06-06,00,      skyclear      ,   sk          ,15,30,6:45 ,18:52, 16,N/A     ,   4,se  
  2,Bulyanhulu                    ,LakeVictoria                  ,Shinyanga                     ,Kahama                        , 32.5, -3.2,2023-06-06,06,      skyclear      ,   sk+s        ,15,30,6:45 ,18:52, 25,N/A     ,  17,se  
  3,Bulyanhulu                    ,LakeVictoria                  ,Shinyanga                     ,Kahama                        , 32.5, -3.2,2023-06-06,12,      skyclear      ,   sk+s        ,15,30,6:45 ,18:52, 27,N/A     ,   7,se  
  4,Bulyanhulu                    ,LakeVictoria                  ,Shinyanga                     ,Kahama                        , 32.5, -3.2,2023-06-06,18,      skyclear      ,   sk          ,15,30,6:45 ,18:52, 20,N/A     ,   7,se  
  5,Bulyanhulu                    ,LakeVictoria                  ,Shinyanga                     ,Kahama                        , 32.5, -3.2,2023-06-07,00,      skyclear      ,   sk+s        ,13,29,6:45 ,18:52, 26,N/A     ,  10,se  
  6,Bulyanhulu                    ,LakeVictoria                  ,Shinyanga                     ,Kahama                        , 32.5, -3.2,2023-06-08,00,      skyclear      ,   sk+s        ,13,29,6:45 ,18:52, 27,N/A     ,   8,se  
  7,Bulyanhulu                    ,LakeVictoria                  ,Shinyanga                     ,Kahama                        , 32.5, -3.2,2023-06-09,00,      skyclear      ,   sk+s        ,14,30,6:44 ,18:52, 27,N/A     ,   7,se  
  8,Bulyanhulu                    ,LakeVictoria                  ,Shinyanga                     ,Kahama                        , 32.5, -3.2,2023-06-10,00,      partly cloudy ,   pc+sp       ,15,31,6:46 ,18:53, 28,N/A     ,   7,se  
  9,Buzwagi                       ,LakeVictoria                  ,Shinyanga                     ,Kahama                        , 32.7, -3.9,2023-06-06,00,      skyclear      ,   sk          ,17,30,6:45 ,18:50, 17,N/A     ,  19,se  
 10,Buzwagi                       ,LakeVictoria                  ,Shinyanga                     ,Kahama                        , 32.7, -3.9,2023-06-06,06,      skyclear      ,   sk+s        ,17,30,6:45 ,18:50, 25,N/A     ,  22,se  
